id,user,total_class_count,covered_class_count,total_method_count,covered_method_count,total_line_count,covered_line_count,total_branch_count,covered_branch_count,tested_class,test_name,game_mode,created_at
84,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,0,9,0,15,0,6,0,be.thibber.gamification.building.Parking,be.thibber.gamification in gamified-testing,0,2025-04-17 07:51:14.253476
85,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,4,14,6,0,0,be.thibber.gamification.Coords,be.thibber.gamification in gamified-testing,0,2025-04-17 07:51:14.264616
86,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,2,2,2,2,0,0,be.thibber.gamification.building.House,be.thibber.gamification in gamified-testing,0,2025-04-17 07:51:14.265629
87,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,0,1,0,1,0,0,0,be.thibber.gamification.exceptions.FullParkingException,be.thibber.gamification in gamified-testing,0,2025-04-17 07:51:14.288423
88,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,7,14,14,4,4,be.thibber.gamification.building.Building,be.thibber.gamification in gamified-testing,0,2025-04-17 07:51:14.292481
89,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,0,3,0,4,0,0,0,be.thibber.gamification.Person,be.thibber.gamification in gamified-testing,0,2025-04-17 07:51:14.296489
90,1f06f352-91b6-4373-87ed-5a5070723efb,1,1,3,3,4,4,0,0,be.thibber.gamification.Person,PersonTest.test_GetNamePerson,0,2025-04-17 07:51:50.321227
91,eed81e54-2343-44af-ab2f-cd062db7e11a,1,1,8,4,15,6,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest.reset,1,2025-04-17 07:51:58.914376
92,11b1644a-d11f-45cb-8a40-282a209059c0,1,1,6,6,8,8,0,0,be.thibber.gamification.Road,RoadTest,0,2025-04-17 07:52:32.700624
93,465777bf-b8f8-4dbe-b99e-7e1c208be8dc,1,1,8,6,14,9,0,0,be.thibber.gamification.Coords,CoordsTest.moveValueTest,1,2025-04-17 07:52:34.701487
94,eed81e54-2343-44af-ab2f-cd062db7e11a,1,1,8,8,14,14,0,0,be.thibber.gamification.Coords,CoordsTest,1,2025-04-17 07:52:51.525648
95,70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,1,1,8,8,14,14,0,0,be.thibber.gamification.Coords,CoordsTest,0,2025-04-17 07:53:14.881504
96,eed81e54-2343-44af-ab2f-cd062db7e11a,1,1,3,3,4,4,0,0,be.thibber.gamification.Person,PersonTest,1,2025-04-17 07:53:23.495900
97,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest.testCarCreationOneParam,0,2025-04-17 07:53:27.544740
98,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,0,11,0,22,0,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:54:28.691622
